ids,context,question,answer,title
e9431c0170c65186,"Perhaps you think that fishes were always fishes, and never lived anywhere except in the water, but if you went to Australia and talked to the black people in the sandy desert in the centre of the country, you would learn something quite different. They would tell you that long, long ago you would have met fishes on the land, wandering from place to place, and hunting all sorts of animals, and if you consider how fishes are made, you will understand how difficult this must have been and how clever they were to do it.",Who knew about fishes that lived on land?,the black people in the sandy desert in the centre of the country,a-fish-story
dffecf69f0a15b37,"Perhaps you think that fishes were always fishes, and never lived anywhere except in the water, but if you went to Australia and talked to the black people in the sandy desert in the centre of the country, you would learn something quite different. Indeed, so clever were they that they might have been hunting still if a terrible thing had not happened. ' Then in an instant they felt warm again, for the fire, driven by the strong wind, had followed them right down to the bottom of the pool, where it burned as brightly as ever.",Why didn't the fishes hunt on land anymore?,There was a fire on the land.,a-fish-story
a5da478e8ef857f1,"One day the whole fish tribe came back very tired from a hunting expedition, and looked about for a nice, cool spot in which to pitch their camp. While the food was cooking they all stretched themselves lazily out under the tree, and were just dropping off to sleep when a big black cloud which they had never noticed spread over the sun, and heavy drops of rain began to fall, so that the fire was almost put out, and that, you know, is a very serious thing in savage countries where they have no matches, for it is very hard to light it again.",What did the fish tribe do after they came back from hunting expedition?,"looked about for a nice, cool spot",a-fish-story
a2d1fa44d443581f,"One day the whole fish tribe came back very tired from a hunting expedition, and looked about for a nice, cool spot in which to pitch their camp. While the food was cooking they all stretched themselves lazily out under the tree, and were just dropping off to sleep when a big black cloud which they had never noticed spread over the sun, and heavy drops of rain began to fall, so that the fire was almost put out, and that, you know, is a very serious thing in savage countries where they have no matches, for it is very hard to light it again.",What will happen after the fish tribe make their fire?,The rain will put out the fire.,a-fish-story
aca115f2dbdd548a,"One day the whole fish tribe came back very tired from a hunting expedition, and looked about for a nice, cool spot in which to pitch their camp. While the food was cooking they all stretched themselves lazily out under the tree, and were just dropping off to sleep when a big black cloud which they had never noticed spread over the sun, and heavy drops of rain began to fall, so that the fire was almost put out, and that, you know, is a very serious thing in savage countries where they have no matches, for it is very hard to light it again.",Why was it a very serious thing after the fire was almost put out?,It was very hard to light it again.,a-fish-story
c516f3db2a785bb9,"One day the whole fish tribe came back very tired from a hunting expedition, and looked about for a nice, cool spot in which to pitch their camp. While the food was cooking they all stretched themselves lazily out under the tree, and were just dropping off to sleep when a big black cloud which they had never noticed spread over the sun, and heavy drops of rain began to fall, so that the fire was almost put out, and that, you know, is a very serious thing in savage countries where they have no matches, for it is very hard to light it again.",Why did the fish tribe need to light the fire again?,It was very cold.,a-fish-story
cd5966c29b555275,"One day the whole fish tribe came back very tired from a hunting expedition, and looked about for a nice, cool spot in which to pitch their camp. While the food was cooking they all stretched themselves lazily out under the tree, and were just dropping off to sleep when a big black cloud which they had never noticed spread over the sun, and heavy drops of rain began to fall, so that the fire was almost put out, and that, you know, is a very serious thing in savage countries where they have no matches, for it is very hard to light it again.",What did Thuggai try to do to light the fire?,rub two sticks together in the hope of kindling a flame,a-fish-story
1459c15543765a4b,"'Let me try,' cried Biernuga, the bony fish, but he had no better luck, and no more had Kumbal, the bream, nor any of the rest. So Thuggai asked him, and Guddhu stripped some pieces of bark off a tree, and placed them on top of the smouldering ashes.",Why couldn't the fish tribe light the fire again?,The wood was too wet.,a-fish-story
bbc7b2041965551f,"'Let me try,' cried Biernuga, the bony fish, but he had no better luck, and no more had Kumbal, the bream, nor any of the rest. So Thuggai asked him, and Guddhu stripped some pieces of bark off a tree, and placed them on top of the smouldering ashes.",Who was skilled in magic more than most fishes?,Guddhu the cod,a-fish-story
2be22a271d505567,"'Let me try,' cried Biernuga, the bony fish, but he had no better luck, and no more had Kumbal, the bream, nor any of the rest. So Thuggai asked him, and Guddhu stripped some pieces of bark off a tree, and placed them on top of the smouldering ashes.",What happened after the fish tribe gave up on lighting the fire?,A fish offered to help them.,a-fish-story
